serial_number,image_id,image_context,text,aspect,predict,label
1,O_2191.jpg,"The image features a confident woman with a poised expression, wearing a stylish feathered outfit, suggesting elegance and empowerment in a fashion magazine setting.",Rise + shine : @ zendaya takes flight on @ voguemagazine ' s July cover wearing CALVIN KLEIN 205 W39NYC .,voguemagazine,Neutral,Positive
2,O_2191.jpg,"The image features a confident woman with a poised expression, wearing a stylish feathered outfit, suggesting elegance and empowerment in a fashion magazine setting.",Rise + shine : @ zendaya takes flight on @ voguemagazine ' s July cover wearing CALVIN KLEIN 205 W39NYC .,CALVIN KLEIN,Neutral,Positive
3,16_05_17_852.jpg,"Three soccer players in matching jerseys celebrate energetically on the field, with one shouting and others smiling broadly, conveying excitement and camaraderie.","Barcelona Crowned 2016 La Liga Champions , Suarez Sink . . .",Suarez,Neutral,Negative
4,O_1125.jpg,"Two people are on the deck of a luxurious yacht, one taking a photo, while others in white attire gather near a smaller boat, suggesting a relaxed, affluent setting.",Barack Obama is gravely concerned about carbon ' s impact on our planet .,Barack Obama,Positive,Neutral
5,O_2958.jpg,"A man in a suit with a confident smile stands indoors, gesturing as colorful, illustrated diamonds float around him, suggesting a sense of control and opulence.",Meta Theory : Donald Trump will win the election WITH THE POWER OF THE CHAOS EMERALDS ? !,Donald Trump,Positive,Neutral
6,O_2022.jpg,"A basketball player in a Clippers jersey is intensely dribbling the ball on a court, focused and poised, with a crowd watching from the stands.",Houston ‘ has emerged ’ as serious threat to sign Chris Paul ( per @ ESPNSteinLine ),Houston,Neutral,Negative
7,O_1552.jpg,"Reserved seating in an indoor venue displays signs for musical acts, indicating anticipation for a formal event or award ceremony.",Fifth Harmony ' s seats at the @ BBMAs ! They are in front of Kelly Rowland and behind Kesha !,Kelly Rowland,Neutral,Positive
8,O_1552.jpg,"Reserved seating in an indoor venue displays signs for musical acts, indicating anticipation for a formal event or award ceremony.",Fifth Harmony ' s seats at the @ BBMAs ! They are in front of Kelly Rowland and behind Kesha !,Kesha,Neutral,Positive
9,17_06_15717.jpg,"The image features the Texas A&M logo prominently displayed with the word ""BASEBALL"" beneath it, suggesting a focus on sports or team pride.",Listen to @ AggieBaseball take on TCU in the elimination game tomorrow at 12 : 45 pm on The Zone !,TCU,Neutral,Negative
10,17_06_15717.jpg,"The image features the Texas A&M logo prominently displayed with the word ""BASEBALL"" beneath it, suggesting a focus on sports or team pride.",Listen to @ AggieBaseball take on TCU in the elimination game tomorrow at 12 : 45 pm on The Zone !,The Zone,Neutral,Positive
